"Info Type"	Frequency	"Group ID"
"Like / Interest"	0.714285714286	1
"Check-in"	0.714285714286	1
"Status Update"	0.714285714286	1
"Photo Album"	0.714285714286	1
"Photo"	0.714285714286	1
"Profile Info"	0.823529411765	2
"Friend"	0.823529411765	2
"Like / Interest"	0.823529411765	2
"Check-in"	0.823529411765	2
"Status Update"	0.823529411765	2
"Photo Album"	0.823529411765	2
"Photo"	0.823529411765	2
"Profile Info"	0.52380952381	1
"Friend"	0.52380952381	1
"Like / Interest"	0.52380952381	1
"Check-in"	0.52380952381	1
"Status Update"	0.52380952381	1
"Photo Album"	0.52380952381	1
"Photo"	0.52380952381	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.952380952381	1
"Friend"	0.952380952381	1
"Like / Interest"	0.952380952381	1
"Check-in"	0.952380952381	1
"Status Update"	0.952380952381	1
"Photo Album"	0.952380952381	1
"Photo"	0.952380952381	1
"Profile Info"	0.266666666667	1
"Friend"	0.266666666667	1
"Like / Interest"	0.266666666667	1
"Check-in"	0.266666666667	1
"Status Update"	0.266666666667	1
"Photo Album"	0.266666666667	1
"Photo"	0.266666666667	1
"Profile Info"	0.933333333333	2
"Friend"	0.933333333333	2
"Like / Interest"	0.933333333333	2
"Check-in"	0.933333333333	2
"Status Update"	0.933333333333	2
"Photo Album"	0.933333333333	2
"Photo"	0.933333333333	2
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.833333333333	2
"Friend"	0.833333333333	2
"Like / Interest"	0.833333333333	2
"Check-in"	0.833333333333	2
"Status Update"	0.833333333333	2
"Photo Album"	0.833333333333	2
"Photo"	0.833333333333	2
"Profile Info"	0.529411764706	1
"Friend"	0.529411764706	1
"Like / Interest"	0.529411764706	1
"Check-in"	0.529411764706	1
"Status Update"	0.529411764706	1
"Photo Album"	0.529411764706	1
"Photo"	0.529411764706	1
"Profile Info"	0.944444444444	2
